seed,method,accuracy,auroc,forgetting_score,membership_advantage,retrain_distance
0,Random Pruning,0.5,0.3013309213076625,0.6236488340192043,0.37635116598079565,8.24247370140689
0,Fisher-only Pruning,0.46111111111111114,0.47783951414911485,0.7165980795610425,0.2834019204389575,5.200097368108447
0,Entanglement-only Pruning,0.40555555555555556,0.4446310892880217,0.795500685871056,0.20449931412894395,7.035684485353663
0,Fine-Tune Only,0.8944444444444445,0.9760951027264504,0.7364609053497942,-0.26353909465020575,6.008578836353208
0,Full Retrain (oracle),0.8222222222222222,0.9139423698152216,0.8128395061728395,-0.1871604938271605,0.0
0,QFL-EWP,0.8444444444444444,0.9098074686652021,0.5471604938271605,-0.4528395061728395,5.067225130457489
1,Random Pruning,0.49444444444444446,0.4094488188976378,0.9377229080932785,0.06227709190672148,5.367058397557525
1,Fisher-only Pruning,0.42777777777777776,0.29029861833308573,0.9747050754458164,0.025294924554183584,3.689801348568635
1,Entanglement-only Pruning,0.37222222222222223,0.37750705690090625,0.8285322359396432,-0.1714677640603568,5.318368554993462
1,Fine-Tune Only,0.7944444444444444,0.9414648640618036,0.9486968449931412,0.05130315500685878,0.6967538025352044
1,Full Retrain (oracle),0.8,0.9376021393552221,0.8233744855967078,-0.17662551440329222,0.0
1,QFL-EWP,0.8055555555555556,0.8720843856782053,0.6811522633744855,-0.31884773662551447,4.6432336286785265
2,Random Pruning,0.42777777777777776,0.3801631820499745,0.66480109739369,0.33519890260631,6.885011684343272
2,Fisher-only Pruning,0.5111111111111111,0.44416114227434983,0.999506172839506,0.0004938271604939537,6.299083208546149
2,Entanglement-only Pruning,0.4166666666666667,0.31170321264660883,0.9449657064471881,0.055034293552811864,6.354357394052119
2,Fine-Tune Only,0.9055555555555556,0.9663437021927588,0.7919890260631002,0.20801097393689982,5.930236965374059
2,Full Retrain (oracle),0.7611111111111111,0.8686894441611421,0.7514951989026063,-0.2485048010973937,0.0
2,QFL-EWP,0.8611111111111112,0.9393166751657318,0.8071330589849108,-0.19286694101508917,5.558932449210894
