Method,Attack AUC (mean),Attack AUC (std),Membership advantage (mean),Membership advantage (std),Privacy leakage risk
Random Pruning,0.6289711934156378,0.08534790261577221,0.25794238683127574,0.17069580523154443,High
Fisher-only Pruning,0.5515317786922725,0.07833456692265815,0.10306355738454502,0.1566691338453163,Moderate
Entanglement-only Pruning,0.5146776406035666,0.09464719980912945,0.029355281207133006,0.1892943996182589,Low
Fine-Tune Only,0.4992958390489255,0.12007678964372408,-0.0014083219021490494,0.24015357928744813,Low
Full Retrain (oracle),0.3979515317786923,0.019408698309412446,-0.20409693644261548,0.03881739661882489,Moderate
QFL-EWP,0.3392409693644261,0.06500342612885876,-0.32151806127114774,0.13000685225771752,High
