Method,Forgetting score (mean),Forgetting score (std),Membership advantage (mean),Membership advantage (std)
Random Pruning,0.7420576131687243,0.17069580523154437,0.2579423868312757,0.17069580523154446
Fisher-only Pruning,0.896936442615455,0.1566691338453163,0.10306355738454497,0.15666913384531636
Entanglement-only Pruning,0.8563328760859624,0.07851499721941498,0.02935528120713297,0.18929439961825886
Fine-Tune Only,0.8257155921353453,0.11006422880910373,-0.0014083219021490678,0.2401535792874481
Full Retrain (oracle),0.7959030635573846,0.03881739661882489,-0.20409693644261548,0.038817396618824905
QFL-EWP,0.6784819387288522,0.13000685225771752,-0.3215180612711477,0.13000685225771755
