Method,"Unlearning time (s, mean)","Unlearning time (s, std)",Speedup vs. Full Retrain
Random Pruning,0.00018990499984283815,1.6629516401938e-05,342427.62128687126
Fisher-only Pruning,5.384033359708459e-05,9.970995872388809e-06,1207806.731906802
Entanglement-only Pruning,5.403400003463806e-05,2.0443077280092276e-05,1203477.7607613835
Fine-Tune Only,14.032637839666526,0.17982076011942602,4.6341050135882424
Full Retrain (oracle),65.02871736666673,1.1672313951271065,1.0
QFL-EWP,3.9620086083333867,0.10906039779855956,16.41306816696215
