method,Accuracy_mean,Accuracy_std,AUROC_mean,AUROC_std,Forgetting_mean,Forgetting_std,MembershipAdv_mean,MembershipAdv_std,RetrainDist_mean,RetrainDist_std
Random Pruning,0.47407407407407404,0.04018987854483468,0.3636476407517583,0.055919068957725984,0.7420576131687242,0.17069580523154437,0.2579423868312757,0.17069580523154446,6.8315145944358955,1.4384539430841028
Fisher-only Pruning,0.4666666666666666,0.04194352464039307,0.4040997582521834,0.09998291238105785,0.896936442615455,0.1566691338453163,0.10306355738454498,0.15666913384531636,5.06299397507441,1.3100328093173899
Entanglement-only Pruning,0.39814814814814814,0.02312962221629038,0.3779471196118456,0.06646503094478211,0.8563328760859624,0.07851499721941498,0.02935528120713297,0.18929439961825886,6.236136811466415,0.8647401810818136
Fine-Tune Only,0.8648148148148148,0.061195228303178945,0.9613012229936709,0.017857303963575377,0.8257155921353453,0.1100642288091037,-0.0014083219021490678,0.24015357928744807,4.211856534754157,3.0444202692346845
Full Retrain (oracle),0.7944444444444444,0.030932024237944562,0.9067446511105285,0.03501564301340125,0.7959030635573846,0.03881739661882488,-0.20409693644261548,0.03881739661882489,0.0,0.0
QFL-EWP,0.837037037037037,0.028508896885816034,0.9070695098363797,0.03369966619040734,0.6784819387288522,0.1300068522577175,-0.3215180612711477,0.13000685225771755,5.08979706944897,0.45826651830945286
