Method,Accuracy (mean),Accuracy (std),AUROC (mean),AUROC (std),Accuracy_seed0,Accuracy_seed1,Accuracy_seed2
Random Pruning,0.47407407407407404,0.040189878544834676,0.3636476407517582,0.05591906895772597,0.5,0.4944444444444444,0.4277777777777777
Fisher-only Pruning,0.4666666666666666,0.041943524640393075,0.4040997582521834,0.09998291238105783,0.4611111111111111,0.4277777777777777,0.5111111111111111
Entanglement-only Pruning,0.39814814814814814,0.023129622216290387,0.3779471196118456,0.0664650309447821,0.4055555555555555,0.3722222222222222,0.4166666666666667
Fine-Tune Only,0.8648148148148148,0.06119522830317895,0.9613012229936709,0.017857303963575356,0.8944444444444445,0.7944444444444444,0.9055555555555556
Full Retrain (oracle),0.7944444444444444,0.030932024237944576,0.9067446511105285,0.03501564301340123,0.8222222222222222,0.8,0.7611111111111111
QFL-EWP,0.837037037037037,0.02850889688581603,0.9070695098363798,0.03369966619040736,0.8444444444444444,0.8055555555555556,0.8611111111111112
